rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
51,10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25.0,-0.09816652536392212,0.17658917605876923
52,10000084,126,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.14,-0.09744429588317871,0.27749428153038025
53,10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44.0,-0.09261029958724976,0.2678244411945343
54,10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.04151606559753418,0.22608639299869537
55,10000080,44,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.7,0.05016365647315979,0.25982004404067993
56,10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30.0,0.11802741885185242,0.16768476366996765
57,10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,0.19445237517356873,0.2802833616733551
58,10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23.0,0.4079396724700928,0.09798213094472885
59,10000149,30-16[29],"Thrombin, Human",ssDNA,30.0,0.5042645931243896,0.07830026745796204
60,10000153,30-38[27],"Thrombin, Human",ssDNA,42.0,1.051861047744751,0.11822821944952011
61,10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,1.1192996501922607,0.03320952132344246
62,10000150,30-16[27],"Thrombin, Human",ssDNA,126.0,1.161425232887268,0.06449291855096817
63,10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,1.2880674600601196,0.03296234831213951
64,10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,1.2983078956604004,0.13555316627025604
65,10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,1.304580569267273,0.178904727101326
66,10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20.0,1.3371913433074951,0.14073175191879272
67,10000157,60-18[27],"Thrombin, Human",ssDNA,0.7,1.3399958610534668,0.031459808349609375
68,10000156,60-18[29],"Thrombin, Human",ssDNA,0.5,1.3838744163513184,0.035102128982543945
69,10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,1.4545267820358276,0.22259977459907532
70,10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,1.4656414985656738,0.1827380508184433
71,10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,1.6115754842758179,0.23937085270881653
72,10000076,12t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.1,1.7922970056533813,0.1941264569759369
73,10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10.0,2.2175302505493164,0.12404248118400574
