rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
49,10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,-0.946135938167572,0.10574337095022202
50,10001374,LDH7r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,21.3,-0.940705418586731,0.18626494705677032
51,10000536,Clone 4.10,"Immunoglobulin E (IgE), Human",ssDNA,73.0,-0.9203468561172485,0.16418752074241638
52,10000628,Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,28.0,-0.919098973274231,0.08501280844211578
53,10000863,HA2a,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,16.0,-0.9100698232650757,0.3242218494415283
54,10000682,4C20,Proteinase K-resistant isoform (PrPSc),ssDNA,79.0,-0.9083855748176575,0.30131062865257263
55,10000147,30-14,"Thrombin, Human",ssDNA,0.96,-0.886768639087677,0.1640758365392685
56,10001344,C57,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,82.4,-0.8379422426223755,0.128794863820076
57,10000010,13A,Basic fibroblast growth factor (bFGF),ssRNA,3.2,-0.8334783315658569,0.19719116389751434
58,10000399,#1,Mammalian translation initiation factor 4A (eIF4A),ssRNA,3000.0,-0.8318383693695068,0.19297659397125244
59,10000630,Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,130.0,-0.8145393133163452,0.13327252864837646
60,10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89.0,-0.8074758648872375,0.07761144638061523
61,10001141,ER_Apt1,Estrogen receptor alpha (ERα),ssDNA,11.5,-0.8034566044807434,0.15427786111831665
62,10001342,C5,"Rituximab, anti-CD20 lgG1 antibody",ssDNA,56.5,-0.8012807965278625,0.11228262633085251
63,10000982,AptER-2,Estrogen receptor alpha (ERα),ssRNA,21.0,-0.7866283655166626,0.2282252311706543
64,10000126,C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.7830559015274048,0.1837717890739441
65,10000678,4C6,Proteinase K-resistant isoform (PrPSc),ssDNA,20.0,-0.7716849446296692,0.24542918801307678
66,10000561,Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.1,-0.7705610990524292,0.2552136778831482
