serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10001079,C-ap11,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,7.376,0.42455452158453677,0.67,0.26,True,results/af3_msa_v2/10001079_C-ap11
10001083,C-ap18,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,9.734,0.4308217018881233,0.7,0.29,True,results/af3_msa_v2/10001083_C-ap18
10000453,F1-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,2,0.19822070390838592,0.39,0.06,True,results/af3_msa_v2/10000453_F1-1
10000455,F3-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,4,0.24271881207290663,0.38,0.1,True,results/af3_msa_v2/10000455_F3-1
10000456,F4-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,7,0.22615584530801913,0.42,0.09,True,results/af3_msa_v2/10000456_F4-1
10000458,F5-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,10,0.21994726741689324,0.4,0.08,True,results/af3_msa_v2/10000458_F5-1
10000454,F2-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,14,0.21519195609606728,0.41,0.06,True,results/af3_msa_v2/10000454_F2-1
10000457,F4-2,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,294,0.19234508570357584,0.39,0.05,True,results/af3_msa_v2/10000457_F4-2
10000172,Trnc-21,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.009,0.3125463343990807,0.78,0.19,True,results/af3_msa_v2/10000172_Trnc-21
10000174,D.21-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.01,0.5373772518019404,0.77,0.48,True,results/af3_msa_v2/10000174_D.21-D.30
10000134,TQ30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.04,0.2430311144185353,0.75,0.11,True,results/af3_msa_v2/10000134_TQ30
10000173,D.30-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.047,0.5582317627594946,0.8,0.49,True,results/af3_msa_v2/10000173_D.30-D.30
10000170,Trnc.A-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.6,0.26578986026839035,0.78,0.14,True,results/af3_msa_v2/10000170_Trnc.A-30
10000171,Trnc.2-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,3.1,0.5375131613025659,0.8,0.47,True,results/af3_msa_v2/10000171_Trnc.2-30
10001141,ER_Apt1,Estrogen receptor alpha (ERα),ssDNA,11.5,0.41211521674700896,0.45,0.13,True,results/af3_msa_v2/10001141_ER_Apt1
10000981,AptER-1,Estrogen receptor alpha (ERα),ssRNA,16,0.6525672366583704,0.45,0.41,True,results/af3_msa_v2/10000981_AptER-1
10000982,AptER-2,Estrogen receptor alpha (ERα),ssRNA,21,0.4669566463831055,0.44,0.19,True,results/af3_msa_v2/10000982_AptER-2
10000983,AptER-3,Estrogen receptor alpha (ERα),ssRNA,30,0.5537578061182894,0.43,0.31,True,results/af3_msa_v2/10000983_AptER-3
10001030,PR10.1-8A,HIV-1 aspartyl protease (PR),ssRNA,2.2,0.19300850919767776,0.47,0.07,True,results/af3_msa_v2/10001030_PR10.1-8A
10001031,PR10.9-8N,HIV-1 aspartyl protease (PR),ssRNA,4.3,0.17563844399204326,0.47,0.04,True,results/af3_msa_v2/10001031_PR10.9-8N
10001029,PR10.1-8E,HIV-1 aspartyl protease (PR),ssRNA,17,0.18617189398022094,0.47,0.06,True,results/af3_msa_v2/10001029_PR10.1-8E
10001028,PR10.9,HIV-1 aspartyl protease (PR),ssRNA,93,0.17752905303708627,0.47,0.05,True,results/af3_msa_v2/10001028_PR10.9
10001027,PR10.1,HIV-1 aspartyl protease (PR),ssRNA,115,0.1636186419686259,0.47,0.04,True,results/af3_msa_v2/10001027_PR10.1
10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5983986878214893,0.38,0.33,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C8
10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6745655817327698,0.45,0.42,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C18
10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6380500688010816,0.45,0.4,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000119_C17
10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5924953471178842,0.39,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000120_C5
10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.47163879670331643,0.33,0.21,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000121_C1
10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.7507284070187505,0.49,0.49,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000122_C9
10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.4621463987364674,0.32,0.17,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000123_C15
10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5080988987561014,0.37,0.25,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000124_C24
10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6717975525098048,0.45,0.41,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000125_C33
10000126,C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6133319500857293,0.39,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000126_C34
10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.48949206587064525,0.33,0.18,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000127_C37
10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6225906517595542,0.42,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000128_C52
10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10,0.2482390793399945,0.52,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000131_D17.4
10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23,0.24076736294395978,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000508_4.4.12
10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23,0.23919241489346582,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000523_4.4.27
10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25,0.23929242816094898,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000516_4.4.20
10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27,0.24004649392284863,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000535_Clone_4.6
10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30,0.2395288681139675,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000498_4.4.2
10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33,0.24023277811287963,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000506_4.4.10
10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33,0.24031464822575885,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000537_Clone_4.15
10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37,0.24045253222212282,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000534_Clone_2.22
10000512,4.4.16,"Immunoglobulin E (IgE), Human",ssDNA,39,0.24037491278855366,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000512_4.4.16
10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44,0.24038868093749088,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000533_Clone_2.15
10000536,Clone 4.10,"Immunoglobulin E (IgE), Human",ssDNA,73,0.23911730870330639,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000536_Clone_4.10
10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84,0.23911546842491538,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000532_Clone_2.11
10001093,anti-KpnI RNA Aptamer 20,KpnI isoschizomer Acc65I,ssRNA,11.6,0.26613036028174714,0.61,0.18,True,results/af3_msa_v2/10001093_anti-KpnI_RNA_Aptamer_20
10001096,anti-KpnI RNA Aptamer 30,KpnI isoschizomer Acc65I,ssRNA,18.6,0.35488647495615117,0.61,0.29,True,results/af3_msa_v2/10001096_anti-KpnI_RNA_Aptamer_30
10001094,anti-KpnI RNA Aptamer 24,KpnI isoschizomer Acc65I,ssRNA,28.7,0.25505861581437006,0.6,0.17,True,results/af3_msa_v2/10001094_anti-KpnI_RNA_Aptamer_24
10001095,anti-KpnI RNA Aptamer 29,KpnI isoschizomer Acc65I,ssRNA,419,0.25801420813199144,0.6,0.17,True,results/af3_msa_v2/10001095_anti-KpnI_RNA_Aptamer_29
10001376,LDH8r-2,"Lactate dehydrogenase (LDH), Human",ssDNA,10.2,0.21517001317439594,0.75,0.06,True,results/af3_msa_v2/10001376_LDH8r-2
10001375,LDH7r-9,"Lactate dehydrogenase (LDH), Human",ssDNA,12,0.22031332858047745,0.76,0.06,True,results/af3_msa_v2/10001375_LDH7r-9
10001377,LDH9r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,19.3,0.2231079004126541,0.78,0.06,True,results/af3_msa_v2/10001377_LDH9r-1
10001374,LDH7r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,21.3,0.22364996530034606,0.78,0.06,True,results/af3_msa_v2/10001374_LDH7r-1
10001302,Ylac8,Lactoferrin,ssDNA,1,0.2637752261974343,0.79,0.13,True,results/af3_msa_v2/10001302_Ylac8
10001301,Ylac6,Lactoferrin,ssDNA,1.9,0.24369769171632003,0.79,0.11,True,results/af3_msa_v2/10001301_Ylac6
10001298,Ylac1,Lactoferrin,ssDNA,2.2,0.2512395991408697,0.83,0.11,True,results/af3_msa_v2/10001298_Ylac1
10001303,Ylac9,Lactoferrin,ssDNA,2.6,0.2787427897962157,0.78,0.15,True,results/af3_msa_v2/10001303_Ylac9
10001299,Ylac4,Lactoferrin,ssDNA,4,0.24264610827696292,0.83,0.1,True,results/af3_msa_v2/10001299_Ylac4
10001300,Ylac5,Lactoferrin,ssDNA,4.7,0.29516699506014493,0.83,0.16,True,results/af3_msa_v2/10001300_Ylac5
10000867,Lep3,"Leptin protein, Human",ssDNA,320,0.1628472655503391,0.54,0.07,True,results/af3_msa_v2/10000867_Lep3
10000866,Lep2,"Leptin protein, Human",ssDNA,410,0.15643244501092543,0.54,0.06,True,results/af3_msa_v2/10000866_Lep2
10000865,Lep1,"Leptin protein, Human",ssDNA,870,0.15609571327740154,0.54,0.06,True,results/af3_msa_v2/10000865_Lep1
10000868,Lep4,"Leptin protein, Human",ssDNA,1470,0.1597183026783412,0.54,0.06,True,results/af3_msa_v2/10000868_Lep4
10001212,MAMA2,Mammaglobin A (MGB1),ssDNA,2,0.11896305750000329,0.47,0.03,True,results/af3_msa_v2/10001212_MAMA2
10001215,MAMA12,Mammaglobin A (MGB1),ssDNA,8,0.1206163576567134,0.48,0.03,True,results/af3_msa_v2/10001215_MAMA12
10001214,MAMA6,Mammaglobin A (MGB1),ssDNA,49,0.1160134136206738,0.47,0.03,True,results/af3_msa_v2/10001214_MAMA6
10001213,MAMA5,Mammaglobin A (MGB1),ssDNA,54,0.11458156164006017,0.47,0.03,True,results/af3_msa_v2/10001213_MAMA5
10001207,MAMB1,Mammaglobin B (MGB2),ssDNA,13,0.18182666673197753,0.44,0.03,True,results/af3_msa_v2/10001207_MAMB1
10001210,MAMB12,Mammaglobin B (MGB2),ssDNA,19,0.16556591862667638,0.45,0.03,True,results/af3_msa_v2/10001210_MAMB12
10001211,MAMB57,Mammaglobin B (MGB2),ssDNA,72,0.1883871392594914,0.45,0.03,True,results/af3_msa_v2/10001211_MAMB57
10001209,MAMB8,Mammaglobin B (MGB2),ssDNA,78,0.1652083205346888,0.45,0.03,True,results/af3_msa_v2/10001209_MAMB8
10001206,MAMB0,Mammaglobin B (MGB2),ssDNA,80,0.16617953843390998,0.45,0.03,True,results/af3_msa_v2/10001206_MAMB0
10001208,MAMB4,Mammaglobin B (MGB2),ssDNA,105,0.15848544064955042,0.45,0.03,True,results/af3_msa_v2/10001208_MAMB4
10000402,no.21,Mammalian translation initiation factor 4A (eIF4A),ssRNA,27,0.3115090231163029,0.55,0.22,True,results/af3_msa_v2/10000402_no.21
10000400,#20,Mammalian translation initiation factor 4A (eIF4A),ssRNA,44,0.2736855618640466,0.55,0.17,True,results/af3_msa_v2/10000400_20
10000401,#30,Mammalian translation initiation factor 4A (eIF4A),ssRNA,1000,0.37749393449616087,0.61,0.29,True,results/af3_msa_v2/10000401_30
10000399,#1,Mammalian translation initiation factor 4A (eIF4A),ssRNA,3000,0.2389714762162728,0.51,0.14,True,results/af3_msa_v2/10000399_1
10000398,#11,Mammalian translation initiation factor 4A (eIF4A),ssRNA,8000,0.2989872688615663,0.52,0.22,True,results/af3_msa_v2/10000398_11
10000660,MUC1-5TR-1,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,47.3,0.16557476171703328,0.2,0.03,True,results/af3_msa_v2/10000660_MUC1-5TR-1
10000663,MUC1-5TR-4,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,69,0.1455829436410823,0.21,0.03,True,results/af3_msa_v2/10000663_MUC1-5TR-4
10000662,MUC1-5TR-3,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,83,0.15455377541275853,0.21,0.03,True,results/af3_msa_v2/10000662_MUC1-5TR-3
10000661,MUC1-5TR-2,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,85.2,0.16178374927315575,0.2,0.03,True,results/af3_msa_v2/10000661_MUC1-5TR-2
10000354,aptamer B.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,1.5,0.39300931410221507,0.79,0.29,True,results/af3_msa_v2/10000354_aptamer_B.2
10000355,aptamer B.3,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,10,0.26745843235202393,0.74,0.15,True,results/af3_msa_v2/10000355_aptamer_B.3
10000353,aptamer A.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,16,0.26988940334096995,0.76,0.15,True,results/af3_msa_v2/10000353_aptamer_A.2
