rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
52,10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37.0,0.23260784149169922,0.18389856815338135
53,10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,0.24031749367713928,0.26022374629974365
54,10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,0.3273124098777771,0.3273645341396332
55,10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,0.37718892097473145,0.2810676395893097
56,10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5.0,0.390596866607666,0.24412314593791962
57,10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33.0,0.5016239881515503,0.2814348042011261
58,10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89.0,0.5519819259643555,0.3011174499988556
59,10000157,60-18[27],"Thrombin, Human",ssDNA,0.7,1.0071563720703125,0.06170615926384926
60,10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,1.0697916746139526,0.054801423102617264
61,10000156,60-18[29],"Thrombin, Human",ssDNA,0.5,1.1389511823654175,0.060832999646663666
62,10000150,30-16[27],"Thrombin, Human",ssDNA,126.0,1.1476408243179321,0.06256920099258423
63,10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,1.3192299604415894,0.12972727417945862
64,10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10.0,1.3417690992355347,0.13046105206012726
65,10000149,30-16[29],"Thrombin, Human",ssDNA,30.0,1.5296658277511597,0.06547961384057999
66,10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,1.5717312097549438,0.14809317886829376
67,10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,1.7599740028381348,0.1756196916103363
68,10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20.0,1.9116477966308594,0.15163688361644745
69,10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,2.071406841278076,0.1637445092201233
70,10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,2.1223983764648438,0.22283785045146942
71,10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,2.2015223503112793,0.20082950592041016
72,10000153,30-38[27],"Thrombin, Human",ssDNA,42.0,2.2745721340179443,0.061264634132385254
73,10000076,12t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.1,2.4636096954345703,0.1916447877883911
